# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Player","","Team","born","Height","Position"
"Alessandro Mercati","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","12/05/2002","171 cm","MF"
"Alex Meret","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","22/03/1997","190 cm","GK"
"Dries Mertens","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","06/05/1987","169 cm","FW"
"Nikos Michelis","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","23/03/2001","192 cm","DF"
"Petar Mićin","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","29/09/1998","189 cm","FW"
"Massimiliano Mignogna","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","18/02/2003","184 cm","DF"
"Miguel Veloso","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","11/05/1986","180 cm","MF"
"Valentin Mihăilă","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","02/02/2000","180 cm","FW"
"Tommaso Milanese","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","31/07/2002","173 cm","MF"
"Nikola Milenković","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","12/10/1997","195 cm","DF"
"Sergej Milinković-Savić","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","27/02/1995","191 cm","MF"
"Vanja Milinković-Savić","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","20/02/1997","202 cm","GK"
"Joseph Minala","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","24/08/1996","184 cm","MF"
"Antonio Mionić","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","31/05/2001","175 cm","FW"
"Aleksey Miranchuk","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","17/10/1995","182 cm","MF"
"Antonio Mirante","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","08/07/1983","194 cm","GK"
"Henrikh Mkhitaryan","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","21/01/1989","178 cm","MF"
"Leonardo Moleri","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","18/01/2002","196 cm","GK"
"Salvatore Molina","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","01/01/1992","174 cm","MF"
"Nahuel Molina Lucero","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","02/12/1997","175 cm","DF"
"Marco Molla","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","19/06/2002","192 cm","GK"
"Gabriele Moncini","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","26/04/1996","183 cm","FW"
"Lorenzo Montipò","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","20/02/1996","191 cm","GK"
"Morata","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","23/10/1992","189 cm","FW"
"Lorenzo Moretti","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","26/02/2002","190 cm","DF"
"Raul Morichelli","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","25/07/2002","???","DF"
"Mert Müldür","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","03/04/1999","185 cm","DF"
"Louis Munteanu","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","16/06/2002","180 cm","FW"
"Luis Muriel","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","16/04/1991","179 cm","FW"
"Vedat Muriqi","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","24/04/1994","194 cm","FW"
"Nicola Murru","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","16/12/1994","180 cm","DF"
"Mateo Musacchio","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","26/08/1990","180 cm","DF"
"Juan Musso","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","06/05/1994","191 cm","GK"
"Nicolas N'Koulou","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","27/03/1990","184 cm","DF"
"Radja Nainggolan","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","04/05/1988","176 cm","MF"
"Nahitan Nández","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","28/12/1995","171 cm","MF"
"Angelo Ndrecka","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","24/09/2001","181 cm","DF"
"Ilija Nestorovski","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","12/03/1990","182 cm","FW"
"Hans Nicolussi Caviglia","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","18/06/2000","181 cm","MF""Mattia Novella","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","25/01/2001","178 cm","DF"
"Bram Nuytinck","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","04/05/1990","190 cm","DF"
"Simeon Nwankwo","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","07/05/1992","198 cm","FW"
"M'bala Nzola","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","18/08/1996","185 cm","FW"
"Brian Oddei","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","18/09/2002","175 cm","FW"
"Stefano Okaka","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","09/08/1989","186 cm","FW"
"Maximiliano Olivera","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","05/03/1992","182 cm","DF"
"Giacomo Olzer","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","14/04/2001","188 cm","MF"
"Jérôme Onguéné","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","22/12/1997","186 cm","DF"
"Riccardo Orsolini","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","24/01/1997","183 cm","FW"
"Victor Osimhen","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","29/12/1998","185 cm","FW"
"Yordan Osorio","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","10/05/1994","189 cm","MF"
"David Ospina","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","31/08/1988","183 cm","GK"
"Adam Ounas","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","11/11/1996","172 cm","FW"
"Thomas Ouwejan","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","30/09/1996","182 cm","DF"
"Daniele Padelli","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","25/10/1985","191 cm","GK"
"Mattia Pagliuca","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","25/04/2002","???","MF"
"Rodrigo Palacio","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","05/02/1982","176 cm","FW"
"Alberto Paleari","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","29/08/1992","193 cm","GK"
"José Palomino","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","05/01/1990","190 cm","DF"
"Martin Palumbo","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","05/03/2002","183 cm","MF"
"Simone Panada","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","02/06/2002","175 cm","MF"
"Goran Pandev","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","27/07/1983","184 cm","FW"
"Ivor Pandur","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","25/03/2000","187 cm","GK"
"Marco Parolo","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","25/01/1985","186 cm","MF"
"Mario Pašalić","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","09/02/1995","189 cm","MF"
"Christian Pastina","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","15/02/2001","185 cm","DF"
"Javier Pastore","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","20/06/1989","187 cm","MF"
"Patric","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","17/04/1993","184 cm","DF"
"Pau López","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","13/12/1994","189 cm","GK"
"Leonardo Pavoletti","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","26/11/1988","188 cm","FW"
"Pedro","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","28/07/1987","167 cm","FW"
"Pedro Obiang","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","27/03/1992","186 cm","MF"
"Pedro Pereira","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","22/01/1998","185 cm","DF"
"Daouda Peeters","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","26/01/1999","185 cm","MF"
"Gianluca Pegolo","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","25/03/1981","183 cm","GK"
"Graziano Pellè","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","15/07/1985","194 cm","FW"
"Lorenzo Pellegrini","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","19/06/1996","188 cm","MF"
"Luca Pellegrini","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","07/03/1999","178 cm","DF"
"Federico Peluso","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","20/01/1984","188 cm","DF"
"Pepe Reina","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","31/08/1982","188 cm","GK"
"Gastón Pereiro","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","11/06/1995","188 cm","MF"
"Roberto Pereyra","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","07/01/1991","182 cm","MF"
"Mattia Perin","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","10/11/1992","188 cm","GK"
"Ivan Perišić","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","02/02/1989","186 cm","FW"
"Matteo Pessina","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","21/04/1997","187 cm","MF"
"Andrea Petagna","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","30/06/1995","190 cm","FW"
"Jacopo Petriccione","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","22/02/1995","176 cm","MF"
"Germán Pezzella","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","27/06/1991","187 cm","DF"
"Giuseppe Pezzella","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","29/11/1997","187 cm","DF""Edoardo Piana","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","29/09/2003","197 cm","GK"
"Marzio Pica","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","04/02/2002","178 cm","DF"
"Stefano Piccinini","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","31/12/2002","183 cm","DF"
"Roberto Piccoli","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","27/01/2001","187 cm","FW"
"Christian Pierobon","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","26/03/2002","188 cm","MF"
"Niccoló Pietra","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","28/09/2003","189 cm","MF"
"Andrea Pinamonti","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","19/05/1999","185 cm","FW"
"Carlo Pinsoglio","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","16/03/1990","194 cm","GK"
"Pierluigi Pinto","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","22/09/1998","188 cm","DF"
"Marko Pjaca","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","06/05/1995","186 cm","FW"
"Tommaso Pobega","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","15/07/1999","188 cm","MF"
"Suf Podgoreanu","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","20/01/2002","193 cm","FW"
"Andrea Poli","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","29/09/1989","182 cm","MF"
"Matteo Politano","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","03/08/1993","171 cm","FW"
"Fabio Ponsi","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","12/02/2001","186 cm","DF"
"Manolo Portanova","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","02/06/2000","197 cm","MF"
"Nik Prelec","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","10/06/2001","186 cm","FW"
"Sebastian Prödl","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","21/06/1987","196 cm","DF"
"Ivan Provedel","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","17/03/1994","192 cm","GK"
"Ruben Providence","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","07/07/2001","172 cm","FW"
"Erick Pulgar","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","15/01/1994","187 cm","MF"
"Ignacio Pussetto","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","21/12/1995","180 cm","FW"
"Fabio Quagliarella","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","31/01/1983","182 cm","FW"
"Simone Rabbi","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","30/10/2001","180 cm","FW"
"Adrien Rabiot","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","03/04/1995","191 cm","MF"
"Ivan Radovanović","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","29/08/1988","187 cm","MF"
"Ionuț Radu","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","28/05/1997","188 cm","GK"
"Reinaldo Radu","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","07/01/2002","178 cm","DF"
"Stefan Radu","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","22/10/1986","183 cm","DF"
"Boris Radunović","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","26/05/1996","193 cm","GK"
"Rafael Leão","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","10/06/1999","188 cm","FW"
"Rafael Pinheiro","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","03/03/1982","187 cm","GK"
"Hamza Rafia","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","02/04/1999","178 cm","MF"
"Antonio Raimondo","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","18/03/2004","185 cm","FW"
"Gastón Ramírez","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","02/12/1990","183 cm","MF"
"Juan Ramos","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","01/09/1996","180 cm","DF"
"Aaron Ramsey","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","26/12/1990","182 cm","MF"
"Antonio Ranieri","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","29/05/2003","177 cm","MF"
"Andrea Ranocchia","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","16/02/1988","195 cm","DF"
"Filippo Ranocchia","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","14/05/2001","178 cm","MF"
"Giacomo Raspadori","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","18/02/2000","172 cm","FW"
"Raúl Moro","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","05/12/2002","172 cm","FW"
"Federico Ravaglia","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","11/11/1999","196 cm","GK"
"Nicola Ravaglia","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","12/12/1988","184 cm","GK"
"Ante Rebić","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","21/09/1993","185 cm","FW"
"Arkadiusz Reca","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","17/06/1995","187 cm","DF"
"Vasco Regini","https://s.hs-data.com/bilder/wappen/mini/731.gif?fallback=png","Sampdoria","09/09/1990","185 cm","DF"
"Bryan Reynolds","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","28/06/2001","191 cm","DF"
"Franck Ribéry","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","07/04/1983","170 cm","MF"
"Matteo Ricci","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","27/05/1994","176 cm","MF""Alessandro Riccio","https://s.hs-data.com/bilder/wappen/mini/511.gif?fallback=png","Juventus","06/02/2002","187 cm","DF"
"Jacopo Riccò","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","09/02/2003","179 cm","GK"
"Alessandro Rigo","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","25/02/2002","???","MF"
"Filippo Rinaldi","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","04/12/2002","188 cm","GK"
"Tomás Rincón","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","13/01/1988","177 cm","MF"
"Andrea Rispoli","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","29/09/1988","188 cm","DF"
"Emmanuel Rivière","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","03/03/1990","182 cm","FW"
"Emil Roback","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","03/05/2003","187 cm","FW"
"Matias Rocchi","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","23/10/2002","179 cm","FW"
"Rodrigo Becão","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","19/01/1996","191 cm","DF"
"Ricardo Rodríguez","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","25/08/1992","182 cm","DF"
"Marko Rog","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","19/07/1995","180 cm","MF"
"Rogério","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","13/01/1998","178 cm","DF"
"Luis Rojas","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","06/03/2002","179 cm","MF"
"Filippo Romagna","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","26/05/1997","185 cm","DF"
"Alessio Romagnoli","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","12/01/1995","188 cm","DF"
"Aristóteles Romero","https://s.hs-data.com/bilder/wappen/mini/3980.gif?fallback=png","FC Crotone","18/10/1995","182 cm","MF"
"Cristian Romero","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","27/04/1998","185 cm","DF"
"Antonio Rosati","https://s.hs-data.com/bilder/wappen/mini/3021.gif?fallback=png","ACF Fiorentina","26/03/1983","195 cm","GK"
"Francesco Rossi","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","27/04/1991","193 cm","GK"
"Nicolò Rovella","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","04/12/2001","179 cm","MF"
"Amir Rrahmani","https://s.hs-data.com/bilder/wappen/mini/732.gif?fallback=png","SSC Napoli","24/02/1994","192 cm","DF"
"Kevin Rüegg","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","05/08/1998","173 cm","DF"
"Dion Ruffo Luci","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","12/07/2001","179 cm","MF"
"Daniele Rugani","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","29/07/1994","188 cm","DF"
"Matteo Ruggeri","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","11/07/2002","179 cm","DF"
"Matteo Saccani","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","01/01/2001","183 cm","DF"
"Alexis Saelemaekers","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","27/06/1999","180 cm","MF"
"Jacopo Sala","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","05/12/1991","184 cm","DF"
"Eddie Salcedo","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","01/10/2001","178 cm","FW"
"Salva Ferrer","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","21/01/1998","184 cm","DF"
"Luigi Samele","https://s.hs-data.com/bilder/wappen/mini/5843.gif?fallback=png","Sassuolo Calcio","09/04/2002","186 cm","FW"
"Samir","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","05/12/1994","188 cm","DF"
"Samu Castillejo","https://s.hs-data.com/bilder/wappen/mini/514.gif?fallback=png","AC Milan","18/01/1995","179 cm","FW"
"Antonio Sanabria","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","04/03/1996","181 cm","FW"
"Alexis Sánchez","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","19/12/1988","169 cm","FW"
"Siriki Sanogo","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","21/12/2001","178 cm","MF"
"Nicola Sansone","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","10/09/1991","172 cm","FW"
"Federico Santander","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","04/06/1991","187 cm","FW"
"Davide Santon","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","02/01/1991","187 cm","DF"
"Riccardo Saponara","https://s.hs-data.com/bilder/wappen/mini/3128.gif?fallback=png","Spezia Calcio","21/12/1991","184 cm","MF"
"Martín Satriano","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","20/02/2001","187 cm","FW"
"Marco Sau","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","03/11/1987","169 cm","FW"
"Răzvan Sava","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","21/06/2002","194 cm","GK"
"Giorgio Scalvini","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","11/12/2003","194 cm","DF"
"Gianluca Scamacca","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","01/01/1999","195 cm","FW"
"Pasquale Schiattarella","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","30/05/1987","177 cm","MF"
"Jerdy Schouten","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","12/01/1997","185 cm","MF"
"Simone Scuffet","https://s.hs-data.com/bilder/wappen/mini/517.gif?fallback=png","Udinese Calcio","31/05/1996","193 cm","GK"
"Stefano Sensi","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","05/08/1995","168 cm","MF""Luigi Sepe","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","08/05/1991","185 cm","GK"
"Florent Shehu","https://s.hs-data.com/bilder/wappen/mini/505.gif?fallback=png","Lazio Roma","17/05/2002","184 cm","MF"
"Eldor Shomurodov","https://s.hs-data.com/bilder/wappen/mini/735.gif?fallback=png","Genoa CFC","29/06/1995","190 cm","FW"
"Marco Silvestri","https://s.hs-data.com/bilder/wappen/mini/519.gif?fallback=png","Hellas Verona","02/03/1991","191 cm","GK"
"Giovanni Simeone","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","05/07/1995","181 cm","FW"
"Wilfried Singo","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","25/12/2000","190 cm","DF"
"Salvatore Sirigu","https://s.hs-data.com/bilder/wappen/mini/734.gif?fallback=png","Torino FC","12/01/1987","192 cm","GK"
"Łukasz Skorupski","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","05/05/1991","187 cm","GK"
"Andreas Skov Olsen","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","29/12/1999","187 cm","FW"
"Milan Škriniar","https://s.hs-data.com/bilder/wappen/mini/507.gif?fallback=png","Inter","11/02/1995","188 cm","DF"
"Chris Smalling","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","22/11/1989","194 cm","DF"
"Simon Sohm","https://s.hs-data.com/bilder/wappen/mini/516.gif?fallback=png","Parma Calcio 1913","11/04/2001","188 cm","MF"
"Francesco Solimeno","https://s.hs-data.com/bilder/wappen/mini/4180.gif?fallback=png","Benevento Calcio","19/08/2002","???","DF"
"Roberto Soriano","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","08/02/1991","182 cm","MF"
"Riccardo Sottil","https://s.hs-data.com/bilder/wappen/mini/733.gif?fallback=png","Cagliari Calcio","03/06/1999","180 cm","FW"
"Adama Soumaoro","https://s.hs-data.com/bilder/wappen/mini/503.gif?fallback=png","Bologna FC","18/06/1992","186 cm","DF"
"Leonardo Spinazzola","https://s.hs-data.com/bilder/wappen/mini/520.gif?fallback=png","AS Roma","25/03/1993","186 cm","MF"
"Marco Sportiello","https://s.hs-data.com/bilder/wappen/mini/504.gif?fallback=png","Atalanta","10/05/1992","192 cm","GK"
